taxon1,taxon2,taxon3,taxon4,CF12_34,CF12_34_lo,CF12_34_hi,CF13_24,CF13_24_lo,CF13_24_hi,CF14_23,CF14_23_lo,CF14_23_hi,ngenes
Smi165,Aga001,Asu001,Adi001,0.0657258064516129,0.0537634408602151,0.0779569892473118,0.0771827956989247,0.0645161290322581,0.0913978494623656,0.857091397849462,0.838709677419355,0.873655913978495,372
Smi165,Adi001,Ama018,Aga002,0.618524193548387,0.586021505376344,0.650537634408602,0.238422043010753,0.209677419354839,0.268817204301075,0.14305376344086,0.118279569892473,0.169354838709677,372
Aru001,Aza037,Adi003,Asu001,0.358556451612903,0.325268817204301,0.39247311827957,0.409400537634409,0.373655913978495,0.446236559139785,0.232043010752688,0.201612903225806,0.263440860215054,372
Aru001,Aza037,Age001,Ama006,0.0665806451612903,0.0564516129032258,0.0779569892473118,0.877895161290323,0.862903225806452,0.89247311827957,0.0555268817204301,0.0456989247311828,0.0672043010752688,372
Smi165,Aga001,Asu001,Aga002,0.0916290322580645,0.0779569892473118,0.10752688172043,0.795870967741936,0.776881720430108,0.814516129032258,0.112497311827957,0.0967741935483871,0.129032258064516,372
Aru001,Aza037,Adi002,Ape009,0.0650510752688172,0.0537634408602151,0.0806451612903226,0.884319892473118,0.865591397849462,0.903225806451613,0.0506290322580645,0.0376344086021505,0.0645161290322581,372
Aru001,Aza037,Ape009,Aga002,0.0880295698924731,0.0725806451612903,0.104838709677419,0.0568494623655914,0.0403225806451613,0.0752688172043011,0.855120967741936,0.833333333333333,0.876344086021505,372
Aru001,Aza037,Adi003,Ama018,0.0615268817204301,0.0483870967741935,0.0752688172043011,0.88483064516129,0.868279569892473,0.900537634408602,0.0536424731182796,0.043010752688172,0.0672043010752688,372
Smi165,Adi001,Aza135,Aga002,0.636432795698925,0.602150537634409,0.669354838709677,0.220489247311828,0.193548387096774,0.25,0.143077956989247,0.118279569892473,0.169354838709677,372
Smi165,Asu001,Adi001,Ama018,0.141486559139785,0.118279569892473,0.166666666666667,0.622916666666667,0.591397849462366,0.655913978494624,0.235599462365591,0.206989247311828,0.266129032258065,372
Smi165,Asu001,Ama006,Ama018,0.923693548387097,0.911290322580645,0.935483870967742,0.0394596774193548,0.032258064516129,0.0483870967741935,0.0368467741935484,0.0295698924731183,0.0456989247311828,372
Smi165,Asu001,Ama018,Aza135,0.819717741935484,0.795698924731183,0.844086021505376,0.100086021505376,0.0806451612903226,0.120967741935484,0.0801935483870968,0.0645161290322581,0.0967741935483871,372
Smi165,Aga001,Aru127,Aza135,0.337104838709677,0.303763440860215,0.370967741935484,0.384524193548387,0.349462365591398,0.419354838709677,0.278368279569892,0.247311827956989,0.311827956989247,372
Smi165,Asu001,Ama006,Adi001,0.130790322580645,0.104838709677419,0.158602150537634,0.25347311827957,0.220430107526882,0.287634408602151,0.615736559139785,0.580645161290323,0.650537634408602,372
Aru001,Aza037,Adi003,Ama006,0.0725188172043011,0.0618279569892473,0.0860215053763441,0.867064516129032,0.849462365591398,0.881720430107527,0.0604166666666667,0.0483870967741935,0.0725806451612903,372
Aru001,Aza037,Adi002,Ama018,0.0601801075268817,0.0483870967741935,0.0725806451612903,0.885319892473118,0.868279569892473,0.900537634408602,0.0545,0.043010752688172,0.0672043010752688,372
Smi165,Aru127,Ama018,Aga002,0.361567204301075,0.327956989247312,0.397849462365591,0.28272311827957,0.25,0.317204301075269,0.355709677419355,0.32258064516129,0.389784946236559,372
Smi165,Aga001,Adi001,Aga002,0.0483252688172043,0.043010752688172,0.0537634408602151,0.910354838709677,0.900537634408602,0.919354838709677,0.0413198924731183,0.0349462365591398,0.0483870967741935,372
Smi165,Asu001,Aza135,Aga002,0.102790322580645,0.0860215053763441,0.120967741935484,0.807741935483871,0.78494623655914,0.827956989247312,0.0894677419354839,0.0725806451612903,0.10752688172043,372
Aru001,Aza037,Adi003,Aru127,0.0503763440860215,0.043010752688172,0.0591397849462366,0.0416639784946237,0.032258064516129,0.0510752688172043,0.907959677419355,0.895161290322581,0.919354838709677,372
Smi165,Aga001,Ama018,Aza135,0.817809139784946,0.793010752688172,0.841397849462366,0.0954865591397849,0.0752688172043011,0.115591397849462,0.0867043010752688,0.0725806451612903,0.104838709677419,372
Aru001,Aza037,Ape009,Ama006,0.249083333333333,0.223118279569892,0.276881720430108,0.441056451612903,0.411290322580645,0.473118279569892,0.309860215053763,0.282258064516129,0.338709677419355,372
Aru001,Aza037,Ape001,Ama018,0.224521505376344,0.198924731182796,0.252688172043011,0.490685483870968,0.456989247311828,0.524193548387097,0.284793010752688,0.255376344086022,0.314516129032258,372
Smi165,Aru127,Adi001,Aza135,0.153876344086021,0.126344086021505,0.185483870967742,0.631182795698925,0.596774193548387,0.666666666666667,0.214940860215054,0.185483870967742,0.244623655913978,372
Smi165,Aga001,Ama006,Aza135,0.854018817204301,0.830645161290323,0.876344086021505,0.0854462365591398,0.0672043010752688,0.10752688172043,0.0605322580645161,0.0483870967741935,0.0752688172043011,372
Aru001,Aza037,Adi002,Aru127,0.0465322580645161,0.0376344086021505,0.0564516129032258,0.0558978494623656,0.0483870967741935,0.0672043010752688,0.897569892473118,0.884408602150538,0.908602150537634,372
Aru001,Aza037,Age001,Asu001,0.344862903225806,0.309139784946237,0.381720430107527,0.434260752688172,0.397849462365591,0.473118279569892,0.220876344086021,0.188172043010753,0.255376344086022,372
Smi165,Asu001,Ama006,Aza135,0.852534946236559,0.827956989247312,0.873655913978495,0.0803225806451613,0.0618279569892473,0.102150537634409,0.0671451612903226,0.0537634408602151,0.0833333333333333,372
Smi165,Aru127,Asu001,Ama018,0.373897849462366,0.338709677419355,0.411290322580645,0.357991935483871,0.32258064516129,0.39247311827957,0.268110215053763,0.233870967741935,0.303763440860215,372
Smi165,Aga001,Ama006,Aga002,0.0502258064516129,0.0456989247311828,0.0591397849462366,0.923465053763441,0.913978494623656,0.93010752688172,0.0263091397849462,0.021505376344086,0.032258064516129,372
Aru001,Aza037,Age001,Ape001,0.0878413978494624,0.0752688172043011,0.102150537634409,0.851854838709677,0.833333333333333,0.870967741935484,0.0603037634408602,0.0456989247311828,0.0752688172043011,372
Smi165,Ama006,Aza135,Aga002,0.0872311827956989,0.0672043010752688,0.10752688172043,0.0656747311827957,0.0510752688172043,0.0833333333333333,0.847094086021505,0.82258064516129,0.868279569892473,372
